Company,Séance,Instrument,Ticker,Ouverture,Dernier_Cours,haut_du_jour,bas_du_jour,Nombre_de_titres_échangés,Volume_des_échanges,Nombre_de_transactions,Capitalisation
AFRIQUIA GAZ,25/03/2026,AFRIQUIA GAZ,GAZ,3810.0,3879.0,3879.0,3810.0,49,189599.0,9,13334062500.0
AFRIQUIA GAZ,24/03/2026,AFRIQUIA GAZ,GAZ,3900.0,3805.0,3900.0,3805.0,199,765146.0,33,13079687500.0
AGMA,09/04/2026,AGMA,AGM,-,6999.0,-,-,-,-,-,1399800000.0
AGMA,08/04/2026,AGMA,AGM,-,6999.0,-,-,-,-,-,1399800000.0
AGMA,07/04/2026,AGMA,AGM,6999.0,6999.0,6999.0,6999.0,2,13998.0,1,1399800000.0
AGMA,06/04/2026,AGMA,AGM,-,7020.0,-,-,-,-,-,1404000000.0
AGMA,03/04/2026,AGMA,AGM,-,7020.0,-,-,-,-,-,1404000000.0
AGMA,02/04/2026,AGMA,AGM,-,7020.0,-,-,-,-,-,1404000000.0
AGMA,01/04/2026,AGMA,AGM,-,7020.0,-,-,-,-,-,1404000000.0
AGMA,31/03/2026,AGMA,AGM,7020.0,7020.0,7020.0,7020.0,1,7020.0,1,1404000000.0
AGMA,30/03/2026,AGMA,AGM,7050.0,7050.0,7050.0,7050.0,4,28200.0,2,1410000000.0
AGMA,27/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
AGMA,26/03/2026,AGMA,AGM,6840.0,6840.0,6840.0,6840.0,10,68400.0,1,1368000000.0
AGMA,25/03/2026,AGMA,AGM,6555.0,6555.0,6555.0,6555.0,2,13110.0,1,1311000000.0
AGMA,24/03/2026,AGMA,AGM,-,6840.0,-,-,-,-,-,1368000000.0
ALLIANCES,09/04/2026,ALLIANCES,ADI,427.8,420.0,427.8,410.0,13813,5744643.65,122,9273006960.0
ALLIANCES,08/04/2026,ALLIANCES,ADI,435.0,430.05,435.0,421.0,41903,18043205.2,242,9494896769.4
ALLIANCES,07/04/2026,ALLIANCES,ADI,421.0,409.0,421.0,400.0,17383,7125333.8,226,9030142492.0
ALLIANCES,06/04/2026,ALLIANCES,ADI,430.0,425.0,430.0,412.0,4279,1809538.9,86,9383399900.0
ALLIANCES,03/04/2026,ALLIANCES,ADI,436.0,429.0,438.0,424.1,20253,8695776.55,59,9471714252.0
